timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
1638174365572,-0.06 ,-0.12 ,0.97 ,-2.99 ,-0.24 ,-1.83 ,-53.63 ,26.20 ,-55.87
1638174365616,-0.05 ,-0.10 ,0.96 ,-6.77 ,-1.16 ,-2.44 ,-53.61 ,26.54 ,-56.99
1638174365648,-0.07 ,-0.15 ,0.99 ,-18.92 ,-3.72 ,10.74 ,-53.45 ,25.55 ,-56.19
1638174365707,-0.11 ,0.08 ,0.98 ,-64.88 ,-13.92 ,47.79 ,-54.02 ,25.07 ,-57.21
1638174365737,-0.43 ,0.36 ,0.80 ,-126.46 ,0.43 ,54.81 ,-54.09 ,22.40 ,-55.75
1638174365768,-0.18 ,0.15 ,1.03 ,-28.50 ,2.38 ,-5.80 ,-54.09 ,22.40 ,-55.75
1638174365798,-0.23 ,-0.02 ,1.07 ,73.30 ,5.62 ,-47.00 ,-53.19 ,21.84 ,-55.11
1638174365842,0.17 ,-0.66 ,0.79 ,61.40 ,10.99 ,-20.20 ,-52.12 ,22.90 ,-53.54
1638174365887,0.06 ,-0.37 ,1.23 ,17.94 ,12.27 ,143.07 ,-52.71 ,26.67 ,-53.93
1638174365932,-0.07 ,0.36 ,0.92 ,7.63 ,34.06 ,82.52 ,-51.54 ,32.58 ,-55.47
1638174365992,-0.13 ,0.41 ,0.66 ,-50.78 ,-17.09 ,-4.03 ,-50.63 ,32.79 ,-55.05
1638174366024,0.00 ,-0.10 ,1.58 ,66.53 ,11.78 ,-113.16 ,-50.63 ,32.79 ,-55.05
1638174366082,-0.09 ,-0.50 ,0.93 ,37.66 ,3.36 ,44.98 ,-52.22 ,27.12 ,-54.13
1638174366142,-0.13 ,0.14 ,1.01 ,20.02 ,-2.56 ,93.69 ,-52.73 ,31.91 ,-54.61
1638174366172,-0.03 ,0.33 ,0.92 ,49.38 ,2.93 ,10.68 ,-52.73 ,31.91 ,-54.61
1638174366217,-0.07 ,-0.04 ,1.05 ,-15.56 ,1.89 ,-22.58 ,-52.50 ,33.65 ,-54.16
1638174366247,-0.09 ,-0.07 ,1.06 ,-13.49 ,0.37 ,-26.61 ,-52.86 ,32.63 ,-54.57
1638174366292,-0.13 ,0.10 ,1.00 ,-34.12 ,-5.74 ,-22.95 ,-52.86 ,32.63 ,-54.57
1638174366324,-0.09 ,-0.13 ,1.01 ,-15.50 ,-1.40 ,-35.71 ,-52.95 ,27.31 ,-54.09
1638174366367,-0.09 ,-0.13 ,1.01 ,-15.50 ,-1.40 ,-35.71 ,-52.95 ,27.31 ,-54.09
1638174366397,-0.06 ,0.04 ,0.97 ,-21.12 ,-0.73 ,-6.53 ,-52.17 ,26.78 ,-53.48
1638174366427,-0.04 ,0.00 ,0.92 ,6.77 ,-1.77 ,-0.61 ,-52.17 ,26.78 ,-53.48
1638174366457,-0.11 ,0.09 ,0.97 ,17.40 ,-2.44 ,-0.73 ,-52.58 ,26.84 ,-54.36
1638174366502,-0.08 ,0.04 ,0.97 ,-10.13 ,1.95 ,-20.57 ,-52.58 ,26.84 ,-54.36
1638174366547,-0.03 ,-0.01 ,0.99 ,25.45 ,3.42 ,23.56 ,-52.99 ,27.66 ,-54.16
1638174366577,-0.05 ,-0.10 ,0.99 ,9.58 ,-1.28 ,43.64 ,-52.91 ,29.41 ,-54.53
1638174366607,-0.05 ,-0.10 ,0.99 ,9.58 ,-1.28 ,43.64 ,-52.91 ,29.41 ,-54.53
1638174366651,-0.05 ,-0.33 ,0.99 ,27.53 ,3.05 ,50.78 ,-52.91 ,29.41 ,-54.53
1638174366682,-0.06 ,-0.11 ,0.94 ,-0.98 ,1.10 ,-12.70 ,-52.89 ,34.36 ,-55.35
1638174366730,-0.06 ,-0.11 ,0.94 ,-0.98 ,1.10 ,-12.70 ,-52.89 ,34.36 ,-55.35
1638174366757,-0.06 ,-0.09 ,1.23 ,-63.05 ,6.16 ,-3.91 ,-52.89 ,34.36 ,-55.35
1638174366802,-0.06 ,0.12 ,0.84 ,-11.90 ,-4.27 ,0.37 ,-52.51 ,28.36 ,-55.51
1638174366834,-0.06 ,0.12 ,0.84 ,-11.90 ,-4.27 ,0.37 ,-52.51 ,28.36 ,-55.51
1638174366877,-0.06 ,0.05 ,0.99 ,19.04 ,2.14 ,-3.48 ,-52.33 ,28.89 ,-55.62
1638174366909,0.05 ,-0.18 ,1.05 ,29.60 ,-0.67 ,-14.40 ,-52.27 ,29.63 ,-56.42
1638174366939,0.05 ,-0.18 ,1.05 ,29.60 ,-0.67 ,-14.40 ,-52.27 ,29.63 ,-56.42
1638174366982,-0.20 ,0.40 ,1.07 ,8.24 ,0.37 ,28.69 ,-53.70 ,29.79 ,-55.98
1638174367027,-0.20 ,0.40 ,1.07 ,8.24 ,0.37 ,28.69 ,-53.70 ,29.79 ,-55.98
1638174367057,-0.30 ,0.09 ,0.95 ,14.47 ,-2.20 ,-16.36 ,-54.27 ,29.54 ,-57.18
1638174367089,0.02 ,0.07 ,0.97 ,-63.05 ,2.56 ,57.74 ,-54.32 ,28.04 ,-58.04
1638174367147,-0.20 ,0.16 ,1.04 ,-55.85 ,12.15 ,75.56 ,-53.97 ,26.16 ,-57.87
1638174367177,-0.12 ,0.07 ,0.98 ,11.47 ,4.64 ,21.36 ,-53.81 ,26.75 ,-59.69
1638174367208,-0.12 ,0.07 ,0.98 ,11.47 ,4.64 ,21.36 ,-53.81 ,26.75 ,-59.69
1638174367267,0.06 ,0.29 ,0.94 ,65.61 ,8.18 ,6.96 ,-54.35 ,28.98 ,-58.76
1638174367298,-0.11 ,-0.16 ,1.14 ,128.60 ,30.94 ,80.14 ,-54.65 ,33.46 ,-59.17
1638174367327,-0.28 ,-0.06 ,0.77 ,-119.26 ,40.65 ,145.81 ,-53.76 ,43.74 ,-55.54
1638174367358,-0.28 ,-0.06 ,0.77 ,-119.26 ,40.65 ,145.81 ,-53.76 ,43.74 ,-55.54
1638174367402,-0.28 ,0.33 ,0.68 ,91.61 ,-44.07 ,115.54 ,-46.24 ,59.88 ,-41.19
1638174367432,-0.07 ,0.21 ,0.81 ,23.13 ,8.97 ,-5.92 ,-27.94 ,96.11 ,-23.91
1638174367462,-0.07 ,0.21 ,0.81 ,23.13 ,8.97 ,-5.92 ,-27.94 ,96.11 ,-23.91
1638174367507,0.01 ,-0.13 ,0.85 ,60.18 ,14.04 ,-85.82 ,-29.38 ,93.80 ,-22.91
1638174367538,-0.19 ,-0.36 ,1.12 ,49.44 ,12.70 ,-53.04 ,-39.64 ,81.25 ,-27.93
1638174367569,0.13 ,-0.95 ,1.06 ,145.08 ,23.13 ,34.91 ,-39.64 ,81.25 ,-27.93
1638174367613,-0.01 ,0.92 ,1.38 ,-108.09 ,-42.79 ,116.21 ,-17.02 ,100.60 ,9.95
1638174367659,-0.10 ,-0.01 ,0.99 ,-22.46 ,-2.14 ,9.77 ,13.12 ,128.15 ,19.25
1638174367703,-0.05 ,-0.21 ,0.89 ,37.17 ,6.65 ,-24.05 ,3.69 ,119.92 ,11.43
1638174367747,-0.07 ,0.03 ,0.86 ,-13.55 ,3.11 ,-27.95 ,-13.50 ,104.19 ,1.78
1638174367777,0.21 ,-0.51 ,0.55 ,67.38 ,29.97 ,-113.40 ,-35.55 ,82.28 ,-22.71
1638174367808,0.21 ,-0.51 ,0.55 ,67.38 ,29.97 ,-113.40 ,-35.55 ,82.28 ,-22.71
1638174367839,-0.11 ,-0.32 ,0.88 ,4.27 ,3.23 ,-16.66 ,-44.12 ,71.67 ,-33.70
1638174367882,-0.03 ,-0.10 ,1.02 ,-6.41 ,-1.28 ,-0.06 ,-44.12 ,71.67 ,-33.70
1638174367926,-0.04 ,-0.12 ,0.99 ,2.81 ,0.24 ,-0.49 ,-43.59 ,71.80 ,-33.56
1638174367957,-0.04 ,-0.13 ,0.96 ,2.26 ,0.12 ,-0.24 ,-43.62 ,70.69 ,-34.29
1638174367988,-0.04 ,-0.13 ,0.96 ,2.26 ,0.12 ,-0.24 ,-43.62 ,70.69 ,-34.29
1638174368028,-0.04 ,-0.12 ,0.98 ,-0.37 ,0.37 ,-0.37 ,-44.23 ,71.29 ,-34.18
1638174368092,-0.04 ,-0.12 ,0.99 ,1.28 ,0.55 ,-0.31 ,-43.88 ,71.35 ,-33.14
1638174368124,-0.04 ,-0.12 ,0.98 ,1.22 ,0.55 ,-0.31 ,-43.93 ,71.22 ,-33.39
1638174368167,-0.04 ,-0.12 ,0.98 ,1.28 ,0.67 ,-0.37 ,-44.03 ,71.31 ,-34.29
1638174368197,-0.18 ,-0.01 ,1.09 ,-16.48 ,-9.03 ,18.43 ,-44.03 ,71.31 ,-34.29
1638174368242,-0.03 ,-0.01 ,0.86 ,-54.57 ,0.85 ,-66.96 ,-43.95 ,69.93 ,-34.36
1638174368273,-0.02 ,-0.23 ,0.96 ,-3.42 ,2.20 ,-31.19 ,-49.56 ,59.01 ,-43.51
1638174368305,-0.02 ,-0.23 ,0.96 ,-3.42 ,2.20 ,-31.19 ,-49.56 ,59.01 ,-43.51
1638174368347,-0.04 ,-0.09 ,1.00 ,11.96 ,3.17 ,-0.73 ,-51.53 ,53.14 ,-47.40
1638174368392,-0.04 ,-0.09 ,0.99 ,-3.23 ,-0.79 ,0.12 ,-51.54 ,53.53 ,-47.44
1638174368422,-0.04 ,-0.09 ,0.99 ,2.26 ,0.92 ,-0.37 ,-51.54 ,53.53 ,-47.44
1638174368452,-0.04 ,-0.09 ,0.99 ,2.26 ,0.92 ,-0.37 ,-51.54 ,53.53 ,-47.44
1638174368482,-0.04 ,-0.09 ,0.98 ,-2.26 ,-0.43 ,-0.12 ,-52.05 ,54.19 ,-48.00
1638174368527,-0.05 ,-0.09 ,0.99 ,2.75 ,0.98 ,-0.55 ,-51.33 ,53.28 ,-47.62
1638174368557,-0.05 ,-0.09 ,0.99 ,0.31 ,0.31 ,-0.24 ,-51.33 ,53.28 ,-47.62
1638174368603,-0.04 ,-0.09 ,0.99 ,1.22 ,0.55 ,-0.31 ,-51.09 ,53.88 ,-46.91
1638174368632,-0.05 ,-0.09 ,0.97 ,1.71 ,0.61 ,-0.37 ,-51.04 ,53.17 ,-48.72
1638174368666,-0.04 ,-0.09 ,0.99 ,1.34 ,0.55 ,-0.31 ,-51.67 ,53.42 ,-47.58
1638174368693,-0.05 ,-0.09 ,0.99 ,1.28 ,0.55 ,-0.37 ,-51.67 ,53.42 ,-47.58
1638174368737,-0.04 ,-0.09 ,0.99 ,0.43 ,0.43 ,-0.31 ,-51.53 ,53.33 ,-47.53
1638174368768,-0.04 ,-0.09 ,0.99 ,1.10 ,0.49 ,-0.31 ,-51.55 ,53.60 ,-47.09
1638174368812,-0.04 ,-0.09 ,0.99 ,1.10 ,0.49 ,-0.31 ,-51.55 ,53.60 ,-47.09
1638174368871,-0.04 ,-0.09 ,0.99 ,1.46 ,0.49 ,-0.37 ,-51.44 ,53.53 ,-47.51
1638174368945,-0.05 ,-0.09 ,0.99 ,0.85 ,0.43 ,-0.37 ,-51.05 ,53.38 ,-46.83
1638174368977,-0.04 ,-0.09 ,0.99 ,0.85 ,0.55 ,-0.31 ,-51.26 ,53.61 ,-47.27
1638174369022,-0.05 ,-0.09 ,0.99 ,1.46 ,0.49 ,-0.31 ,-51.26 ,53.61 ,-47.27
1638174369067,-0.04 ,-0.09 ,0.99 ,1.04 ,0.55 ,-0.43 ,-51.33 ,53.41 ,-47.81
1638174369099,-0.05 ,-0.09 ,0.99 ,0.73 ,0.43 ,-0.37 ,-51.29 ,53.60 ,-47.08
1638174369128,-0.05 ,-0.09 ,0.99 ,0.73 ,0.43 ,-0.37 ,-51.29 ,53.60 ,-47.08
1638174369177,-0.04 ,-0.09 ,0.99 ,1.22 ,0.43 ,-0.37 ,-51.75 ,53.67 ,-47.31
1638174369247,-0.04 ,-0.09 ,0.99 ,0.92 ,0.67 ,-0.43 ,-51.62 ,52.93 ,-48.18
1638174369308,-0.04 ,-0.09 ,0.99 ,0.85 ,0.37 ,-0.43 ,-51.46 ,53.03 ,-47.71
1638174369352,-0.04 ,-0.09 ,0.99 ,0.73 ,0.43 ,-0.43 ,-51.42 ,53.63 ,-47.95
1638174369398,-0.04 ,-0.09 ,0.99 ,1.04 ,0.49 ,-0.24 ,-52.01 ,53.45 ,-47.81
1638174369428,-0.04 ,-0.09 ,0.99 ,1.22 ,0.61 ,-0.55 ,-51.61 ,53.52 ,-47.40
1638174369473,-0.04 ,-0.09 ,0.99 ,1.22 ,0.61 ,-0.55 ,-51.61 ,53.52 ,-47.40
1638174369531,-0.04 ,-0.09 ,0.99 ,1.16 ,0.43 ,-0.31 ,-51.62 ,53.59 ,-48.21
1638174369562,-0.05 ,-0.09 ,0.99 ,1.40 ,0.55 ,-0.31 ,-50.94 ,53.50 ,-47.56
1638174369594,-0.04 ,-0.09 ,0.99 ,1.22 ,0.67 ,-0.31 ,-51.51 ,53.32 ,-47.52
1638174369637,-0.04 ,-0.09 ,0.99 ,1.22 ,0.67 ,-0.31 ,-51.51 ,53.32 ,-47.52
1638174369668,-0.05 ,-0.09 ,0.99 ,1.28 ,0.61 ,-0.37 ,-51.00 ,54.41 ,-47.20
1638174369697,-0.04 ,-0.09 ,0.99 ,1.22 ,0.49 ,-0.24 ,-51.38 ,53.45 ,-47.18
1638174369729,-0.04 ,-0.09 ,0.99 ,1.46 ,0.43 ,-0.37 ,-51.38 ,53.45 ,-47.18
1638174369775,-0.04 ,-0.09 ,0.98 ,1.46 ,0.31 ,-0.43 ,-51.97 ,54.03 ,-46.44
1638174369802,-0.05 ,-0.09 ,0.99 ,1.65 ,0.31 ,-0.37 ,-51.77 ,53.61 ,-47.61
1638174369848,-0.05 ,-0.09 ,0.99 ,1.65 ,0.31 ,-0.37 ,-51.77 ,53.61 ,-47.61
1638174369907,-0.04 ,-0.10 ,0.99 ,1.40 ,0.61 ,-0.37 ,-51.93 ,53.20 ,-46.53
1638174369937,-0.05 ,-0.09 ,0.99 ,1.22 ,0.43 ,-0.37 ,-51.87 ,53.00 ,-47.29
1638174369969,-0.05 ,-0.09 ,0.99 ,1.22 ,0.43 ,-0.37 ,-51.87 ,53.00 ,-47.29
1638174370011,-0.04 ,-0.09 ,0.99 ,1.16 ,0.31 ,-0.37 ,-51.87 ,53.00 ,-47.29
1638174370043,-0.04 ,-0.09 ,0.99 ,1.53 ,0.61 ,-0.43 ,-51.46 ,52.95 ,-47.39
1638174370087,-0.04 ,-0.09 ,0.99 ,1.40 ,0.61 ,-0.49 ,-51.92 ,52.93 ,-45.74
1638174370132,-0.04 ,-0.09 ,0.99 ,1.40 ,0.61 ,-0.49 ,-51.92 ,52.93 ,-45.74
1638174370162,-0.05 ,-0.09 ,0.99 ,1.04 ,0.49 ,-0.43 ,-51.68 ,53.42 ,-47.06
1638174370193,-0.05 ,-0.09 ,0.99 ,1.04 ,0.49 ,-0.43 ,-51.68 ,53.42 ,-47.06
1638174370240,-0.05 ,-0.09 ,0.99 ,1.04 ,0.61 ,-0.37 ,-51.66 ,53.26 ,-46.80
1638174370298,-0.04 ,-0.09 ,0.99 ,1.10 ,0.55 ,-0.18 ,-51.72 ,53.75 ,-46.97
1638174370357,-0.05 ,-0.09 ,0.99 ,1.22 ,0.49 ,-0.31 ,-51.94 ,52.92 ,-47.77
1638174370387,-0.04 ,-0.09 ,0.99 ,1.28 ,0.55 ,-0.24 ,-51.98 ,54.04 ,-46.46
1638174370417,-0.04 ,-0.09 ,0.99 ,1.22 ,0.43 ,-0.24 ,-51.82 ,53.64 ,-47.41
1638174370462,-0.04 ,-0.09 ,0.99 ,1.22 ,0.43 ,-0.24 ,-51.82 ,53.64 ,-47.41
1638174370493,-0.05 ,-0.09 ,0.99 ,1.10 ,0.37 ,-0.31 ,-51.53 ,53.88 ,-48.02
1638174370523,-0.04 ,-0.09 ,0.99 ,1.10 ,0.61 ,-0.24 ,-51.65 ,53.25 ,-46.79
1638174370568,-0.04 ,-0.09 ,0.99 ,1.10 ,0.49 ,-0.37 ,-51.65 ,53.25 ,-46.79
1638174370598,-0.04 ,-0.09 ,0.99 ,1.22 ,0.49 ,-0.31 ,-51.62 ,53.78 ,-47.12
1638174370628,-0.05 ,-0.09 ,0.99 ,1.16 ,0.49 ,-0.31 ,-52.23 ,53.36 ,-48.07
1638174370677,-0.05 ,-0.09 ,0.99 ,0.79 ,0.49 ,-0.49 ,-52.23 ,53.36 ,-48.07
1638174370737,-0.05 ,-0.09 ,0.99 ,0.92 ,0.43 ,-0.31 ,-51.82 ,53.53 ,-47.75
1638174370777,-0.04 ,-0.09 ,0.99 ,1.10 ,0.31 ,-0.31 ,-51.82 ,53.53 ,-47.75
1638174370808,-0.05 ,-0.09 ,0.99 ,1.04 ,0.67 ,-0.49 ,-51.57 ,53.00 ,-47.66
1638174370838,-0.05 ,-0.09 ,0.99 ,1.04 ,0.67 ,-0.49 ,-51.57 ,53.00 ,-47.66
1638174370883,-0.04 ,-0.09 ,0.99 ,1.10 ,0.67 ,-0.24 ,-51.57 ,53.00 ,-47.66
1638174370927,-0.05 ,-0.09 ,0.99 ,1.16 ,0.37 ,-0.37 ,-51.89 ,52.58 ,-47.90
1638174370958,-0.04 ,-0.09 ,0.99 ,1.10 ,0.61 ,-0.31 ,-51.89 ,52.58 ,-47.90
1638174370987,-0.04 ,-0.09 ,0.99 ,1.10 ,0.61 ,-0.31 ,-51.89 ,52.58 ,-47.90
1638174371017,-0.04 ,-0.09 ,0.98 ,1.10 ,0.43 ,-0.24 ,-52.08 ,52.94 ,-47.62
1638174371047,-0.05 ,-0.09 ,0.99 ,0.79 ,0.61 ,-0.43 ,-51.77 ,53.42 ,-46.70
1638174371092,-0.04 ,-0.09 ,0.99 ,0.98 ,0.31 ,-0.37 ,-51.77 ,53.42 ,-46.70
1638174371122,-0.04 ,-0.09 ,0.99 ,1.10 ,0.43 ,-0.37 ,-51.82 ,53.21 ,-47.66
1638174371153,-0.05 ,-0.09 ,0.99 ,1.10 ,0.67 ,-0.43 ,-51.99 ,53.59 ,-47.30
1638174371204,-0.04 ,-0.09 ,0.99 ,1.10 ,0.49 ,-0.37 ,-52.10 ,53.17 ,-46.84
1638174371242,-0.04 ,-0.09 ,0.99 ,1.10 ,0.49 ,-0.37 ,-52.10 ,53.17 ,-46.84
1638174371273,-0.05 ,-0.09 ,0.99 ,1.22 ,0.37 ,-0.24 ,-51.79 ,53.22 ,-46.64
1638174371317,-0.05 ,-0.09 ,0.99 ,1.16 ,0.61 ,-0.37 ,-51.54 ,53.21 ,-46.55
1638174371347,-0.04 ,-0.09 ,0.99 ,0.98 ,0.31 ,-0.37 ,-51.68 ,53.26 ,-47.07
1638174371378,-0.04 ,-0.09 ,0.99 ,0.98 ,0.31 ,-0.37 ,-51.68 ,53.26 ,-47.07
1638174371422,-0.05 ,-0.09 ,0.99 ,1.04 ,0.49 ,-0.37 ,-52.20 ,53.30 ,-47.68
1638174371452,-0.05 ,-0.09 ,0.99 ,1.04 ,0.49 ,-0.37 ,-52.20 ,53.30 ,-47.68
1638174371498,-0.05 ,-0.09 ,0.99 ,0.92 ,0.43 ,-0.37 ,-52.20 ,53.30 ,-47.68
1638174371528,-0.05 ,-0.09 ,0.99 ,1.04 ,0.49 ,-0.37 ,-51.72 ,53.37 ,-46.91
1638174371572,-0.05 ,-0.09 ,0.99 ,1.04 ,0.49 ,-0.37 ,-51.72 ,53.37 ,-46.91
1638174371602,-0.04 ,-0.09 ,0.99 ,1.22 ,0.61 ,-0.55 ,-51.72 ,53.37 ,-46.91
1638174371633,-0.04 ,-0.09 ,0.99 ,1.16 ,0.37 ,-0.43 ,-51.71 ,53.76 ,-46.53
1638174371665,-0.05 ,-0.09 ,0.99 ,1.10 ,0.55 ,-0.37 ,-52.08 ,53.36 ,-45.92
1638174371708,-0.05 ,-0.09 ,0.99 ,1.16 ,0.55 ,-0.31 ,-52.08 ,53.36 ,-45.92
1638174371753,-0.04 ,-0.09 ,0.99 ,1.10 ,0.55 ,-0.37 ,-52.04 ,53.30 ,-46.39
